rand3,['l_2'],, reverse_iter: ,1, corruption: ,['gaussian_noise'], severity: 1,batch-size: 2,0.3951,0.3977,0.898398326228559,0.901757031147182
rand3,['l_2'],, reverse_iter: ,1, corruption: ,['shot_noise'], severity: 1,batch-size: 2,0.3863,0.3874,0.9261740937106311,0.9275487021535636
rand3,['l_2'],, reverse_iter: ,1, corruption: ,['impulse_noise'], severity: 1,batch-size: 2,0.5788,0.5794,0.7726089355371892,0.7765697854280472
rand3,['l_2'],, reverse_iter: ,1, corruption: ,['gaussian_noise'], severity: 1,batch-size: 2,0.3951,0.3977,0.898398326228559,0.901757031147182
rand3,['l_2'],, reverse_iter: ,1, corruption: ,['gaussian_noise'], severity: 1,batch-size: 4,0.3951,0.3971,1.6919600169420241,1.7008532462835313
rand3,['l_2'],, reverse_iter: ,1, corruption: ,['gaussian_noise'], severity: 1,batch-size: 8,0.3951,0.3966,2.4392664894104006,2.4410163372039797
rand3,['l_2'],, reverse_iter: ,1, corruption: ,['gaussian_noise'], severity: 1,batch-size: 16,0.3951,0.3963,3.1701589836120605,3.1539967195510865
rand3,['l_2'],, reverse_iter: ,1, corruption: ,['gaussian_noise'], severity: 1,batch-size: 32,0.3951,0.3955,3.872803857151312,3.851037198362259
rand3,['l_2'],, reverse_iter: ,1, corruption: ,['shot_noise'], severity: 1,batch-size: 2,0.3863,0.3874,0.9261740937106311,0.9275487021535636
rand3,['l_2'],, reverse_iter: ,1, corruption: ,['shot_noise'], severity: 1,batch-size: 4,0.3863,0.388,1.731870983862877,1.7423037351608277
rand3,['l_2'],, reverse_iter: ,1, corruption: ,['shot_noise'], severity: 1,batch-size: 8,0.3863,0.3873,2.483544617176056,2.483791355228424
rand3,['l_2'],, reverse_iter: ,1, corruption: ,['shot_noise'], severity: 1,batch-size: 16,0.3863,0.3869,3.215717557144165,3.2025584358215333
rand3,['l_2'],, reverse_iter: ,1, corruption: ,['shot_noise'], severity: 1,batch-size: 32,0.3863,0.3868,3.91675753562976,3.901039416035905
rand3,['l_2'],, reverse_iter: ,1, corruption: ,['impulse_noise'], severity: 1,batch-size: 2,0.5788,0.5794,0.7726089355371892,0.7765697854280472
rand3,['l_2'],, reverse_iter: ,1, corruption: ,['impulse_noise'], severity: 1,batch-size: 4,0.5788,0.5792,1.4959479986429214,1.516653887784481
rand3,['l_2'],, reverse_iter: ,1, corruption: ,['impulse_noise'], severity: 1,batch-size: 8,0.5788,0.5792,2.2171450052261354,2.2234572578907015
rand3,['l_2'],, reverse_iter: ,1, corruption: ,['impulse_noise'], severity: 1,batch-size: 16,0.5788,0.5789,2.943796282196045,2.924904584503174
rand3,['l_2'],, reverse_iter: ,1, corruption: ,['impulse_noise'], severity: 1,batch-size: 32,0.5788,0.579,3.634353818984839,3.6157904067359414
rand3,['l_2'],, reverse_iter: ,1, corruption: ,['glass_blur'], severity: 1,batch-size: 2,0.3726,0.3733,0.4406826182872057,0.4465294099634513
rand3,['l_2'],, reverse_iter: ,1, corruption: ,['glass_blur'], severity: 1,batch-size: 4,0.3726,0.3738,0.9577130303621292,0.9773182556271554
rand3,['l_2'],, reverse_iter: ,1, corruption: ,['glass_blur'], severity: 1,batch-size: 8,0.3726,0.3741,1.5501268975257874,1.5543053498268127
rand3,['l_2'],, reverse_iter: ,1, corruption: ,['glass_blur'], severity: 1,batch-size: 16,0.3726,0.3735,2.205809879112244,2.183758996963501
rand3,['l_2'],, reverse_iter: ,1, corruption: ,['glass_blur'], severity: 1,batch-size: 32,0.3726,0.374,2.8634588889801464,2.8478232165114186
rand3,['l_2'],, reverse_iter: ,1, corruption: ,['defocus_blur'], severity: 1,batch-size: 2,0.1602,0.1622,0.6537517989378423,0.6605288825452328
rand3,['l_2'],, reverse_iter: ,1, corruption: ,['defocus_blur'], severity: 1,batch-size: 4,0.1602,0.1626,1.308735244089365,1.3283837450504303
rand3,['l_2'],, reverse_iter: ,1, corruption: ,['defocus_blur'], severity: 1,batch-size: 8,0.1602,0.1613,1.9906970420360566,1.9916816054821014
rand3,['l_2'],, reverse_iter: ,1, corruption: ,['defocus_blur'], severity: 1,batch-size: 16,0.1602,0.1623,2.697060664367676,2.6742519523620607
rand3,['l_2'],, reverse_iter: ,1, corruption: ,['defocus_blur'], severity: 1,batch-size: 32,0.1602,0.1622,3.375564384384277,3.362397690931448
rand3,['l_2'],, reverse_iter: ,1, corruption: ,['zoom_blur'], severity: 1,batch-size: 2,0.8455,0.8447,0.2934057660979219,0.29855232501961293
rand3,['l_2'],, reverse_iter: ,1, corruption: ,['zoom_blur'], severity: 1,batch-size: 4,0.8455,0.8462,0.6652361798465252,0.6804779872745276
rand3,['l_2'],, reverse_iter: ,1, corruption: ,['zoom_blur'], severity: 1,batch-size: 8,0.8455,0.8454,1.135084567975998,1.1375829046964645
rand3,['l_2'],, reverse_iter: ,1, corruption: ,['zoom_blur'], severity: 1,batch-size: 16,0.8455,0.8453,1.7163561100006104,1.6872197554588317
rand3,['l_2'],, reverse_iter: ,1, corruption: ,['zoom_blur'], severity: 1,batch-size: 32,0.8455,0.8457,2.327443519720254,2.2997602030111195
rand3,['l_2'],, reverse_iter: ,1, corruption: ,['motion_blur'], severity: 1,batch-size: 2,0.5657,0.5694,0.44253850736431777,0.44543284068591893
rand3,['l_2'],, reverse_iter: ,1, corruption: ,['motion_blur'], severity: 1,batch-size: 4,0.5657,0.5677,0.9615546666920185,0.9773160016477108
rand3,['l_2'],, reverse_iter: ,1, corruption: ,['motion_blur'], severity: 1,batch-size: 8,0.5657,0.5677,1.5535204571723937,1.55310140209198
rand3,['l_2'],, reverse_iter: ,1, corruption: ,['motion_blur'], severity: 1,batch-size: 16,0.5657,0.5674,2.2097271856307983,2.194346361351013
rand3,['l_2'],, reverse_iter: ,1, corruption: ,['motion_blur'], severity: 1,batch-size: 32,0.5657,0.5656,2.8674945458055685,2.8575054932707036
rand3,['l_2'],, reverse_iter: ,1, corruption: ,['snow'], severity: 1,batch-size: 2,0.8764,0.8754,0.32533828673418613,0.32932044284939765
rand3,['l_2'],, reverse_iter: ,1, corruption: ,['snow'], severity: 1,batch-size: 4,0.8764,0.876,0.7440169605612755,0.7545533761918545
rand3,['l_2'],, reverse_iter: ,1, corruption: ,['snow'], severity: 1,batch-size: 8,0.8764,0.8761,1.259145702767372,1.2584423986911775
rand3,['l_2'],, reverse_iter: ,1, corruption: ,['snow'], severity: 1,batch-size: 16,0.8764,0.876,1.8733195658683777,1.8440846519470215
rand3,['l_2'],, reverse_iter: ,1, corruption: ,['snow'], severity: 1,batch-size: 32,0.8764,0.8767,2.502813989362016,2.4841302103889635
rand3,['l_2'],, reverse_iter: ,1, corruption: ,['frost'], severity: 1,batch-size: 2,0.8907,0.8908,0.374070270373486,0.3771324645707384
rand3,['l_2'],, reverse_iter: ,1, corruption: ,['frost'], severity: 1,batch-size: 4,0.8907,0.8906,0.8465596346735954,0.8533481780707837
rand3,['l_2'],, reverse_iter: ,1, corruption: ,['frost'], severity: 1,batch-size: 8,0.8907,0.8909,1.4032619925498961,1.4058493597507478
rand3,['l_2'],, reverse_iter: ,1, corruption: ,['frost'], severity: 1,batch-size: 16,0.8907,0.8905,2.041026064300537,2.0215378467559812
rand3,['l_2'],, reverse_iter: ,1, corruption: ,['frost'], severity: 1,batch-size: 32,0.8907,0.8907,2.695404197080448,2.669646076120127
rand3,['l_2'],, reverse_iter: ,1, corruption: ,['fog'], severity: 1,batch-size: 2,0.8239,0.8259,0.6228735855925828,0.6245057613454759
rand3,['l_2'],, reverse_iter: ,1, corruption: ,['fog'], severity: 1,batch-size: 4,0.8239,0.8256,1.2647401103973388,1.2843476975142956
rand3,['l_2'],, reverse_iter: ,1, corruption: ,['fog'], severity: 1,batch-size: 8,0.8239,0.8256,1.9384604830265044,1.9402319490909576
rand3,['l_2'],, reverse_iter: ,1, corruption: ,['fog'], severity: 1,batch-size: 16,0.8239,0.8249,2.63807313079834,2.6217699256896974
rand3,['l_2'],, reverse_iter: ,1, corruption: ,['fog'], severity: 1,batch-size: 32,0.8239,0.8244,3.3128437843566503,3.2998479882749123
rand3,['l_2'],, reverse_iter: ,1, corruption: ,['brightness'], severity: 1,batch-size: 2,0.9438,0.9432,0.23077999311136083,0.23617633392307907
rand3,['l_2'],, reverse_iter: ,1, corruption: ,['brightness'], severity: 1,batch-size: 4,0.9438,0.944,0.5540861252576113,0.5652948349922895
rand3,['l_2'],, reverse_iter: ,1, corruption: ,['brightness'], severity: 1,batch-size: 8,0.9438,0.9437,0.9842942943811417,0.9837941067934036
rand3,['l_2'],, reverse_iter: ,1, corruption: ,['brightness'], severity: 1,batch-size: 16,0.9438,0.9441,1.5287634249687194,1.5014083245277405
rand3,['l_2'],, reverse_iter: ,1, corruption: ,['brightness'], severity: 1,batch-size: 32,0.9438,0.9438,2.1228931277704697,2.100346281505621
rand3,['l_2'],, reverse_iter: ,1, corruption: ,['contrast'], severity: 1,batch-size: 2,0.8972,0.8955,0.40182435800563543,0.40219736901782455
rand3,['l_2'],, reverse_iter: ,1, corruption: ,['contrast'], severity: 1,batch-size: 4,0.8972,0.8955,0.9023787572145462,0.9177342968553305
rand3,['l_2'],, reverse_iter: ,1, corruption: ,['contrast'], severity: 1,batch-size: 8,0.8972,0.897,1.4903740921974182,1.491674816608429
rand3,['l_2'],, reverse_iter: ,1, corruption: ,['contrast'], severity: 1,batch-size: 16,0.8972,0.897,2.139954797363281,2.1262609788894653
rand3,['l_2'],, reverse_iter: ,1, corruption: ,['contrast'], severity: 1,batch-size: 32,0.8972,0.8973,2.7959335094061903,2.78473226826031
rand3,['l_2'],, reverse_iter: ,1, corruption: ,['pixelate'], severity: 1,batch-size: 2,0.3669,0.3704,0.5875631414007395,0.5870495859559626
rand3,['l_2'],, reverse_iter: ,1, corruption: ,['pixelate'], severity: 1,batch-size: 4,0.3669,0.3696,1.2235265709221363,1.227323982077837
rand3,['l_2'],, reverse_iter: ,1, corruption: ,['pixelate'], severity: 1,batch-size: 8,0.3669,0.369,1.8914401854038239,1.8902800085544587
rand3,['l_2'],, reverse_iter: ,1, corruption: ,['pixelate'], severity: 1,batch-size: 16,0.3669,0.3684,2.5853535987854004,2.5623124647140503
rand3,['l_2'],, reverse_iter: ,1, corruption: ,['pixelate'], severity: 1,batch-size: 32,0.3669,0.3684,3.267803296494408,3.241180282812149
rand3,['l_2'],, reverse_iter: ,1, corruption: ,['jpeg_compression'], severity: 1,batch-size: 2,0.6026,0.6034,0.3819269046046771,0.38527828000420705
rand3,['l_2'],, reverse_iter: ,1, corruption: ,['jpeg_compression'], severity: 1,batch-size: 4,0.6026,0.603,0.8582256989717484,0.8639382623493671
rand3,['l_2'],, reverse_iter: ,1, corruption: ,['jpeg_compression'], severity: 1,batch-size: 8,0.6026,0.6032,1.4165955842971802,1.4182509147644042
rand3,['l_2'],, reverse_iter: ,1, corruption: ,['jpeg_compression'], severity: 1,batch-size: 16,0.6026,0.6033,2.054619243621826,2.032946459197998
rand3,['l_2'],, reverse_iter: ,1, corruption: ,['jpeg_compression'], severity: 1,batch-size: 32,0.6026,0.6036,2.6996557739215157,2.677861594544432
rand3,['l_2'],, reverse_iter: ,1, corruption: ,['elastic_transform'], severity: 1,batch-size: 2,0.2456,0.247,0.6096988461643458,0.6146293033525347
rand3,['l_2'],, reverse_iter: ,1, corruption: ,['elastic_transform'], severity: 1,batch-size: 4,0.2456,0.2464,1.2787034148693084,1.2811873874664306
rand3,['l_2'],, reverse_iter: ,1, corruption: ,['elastic_transform'], severity: 1,batch-size: 8,0.2456,0.2469,1.9657641708374023,1.9645270582199097
rand3,['l_2'],, reverse_iter: ,1, corruption: ,['elastic_transform'], severity: 1,batch-size: 16,0.2456,0.2462,2.6638102045059204,2.653695983123779
rand3,['l_2'],, reverse_iter: ,1, corruption: ,['elastic_transform'], severity: 1,batch-size: 32,0.2456,0.2464,3.3570654613141433,3.3450983614205554
